,SALE PRICE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,sale_month,sale_week,sale_year,latitude,longitude,deucli_k1,deucli_k2,deucli_k3,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,APARTMENT NUMBER,ZIP CODE,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,cluster
5131,650000.0,1.0,0.0,1.0,4000.0,240.0,1920.0,6.0,25.0,2017.0,40.726634000000004,-73.8841005,0.9030679129066117,2.767036596410586,217.89875556837373,4,MIDDLE VILLAGE,01 ONE FAMILY DWELLINGS                    ,1,2816,20,A2, ,11379,1,A2,0
5132,595000.0,1.0,1.0,2.0,1950.0,3730.0,1930.0,10.0,41.0,2016.0,40.665851399999994,-73.9201605,3.0103551780961184,0.22375084487039013,217.8600974847134,3,BROWNSVILLE,22 STORE BUILDINGS                         ,4,3511,80,K4, ,11212,4,K4,1
5133,1300000.0,3.0,0.0,3.0,2500.0,2720.0,1935.0,11.0,47.0,2016.0,40.705718,-73.9168996,3.418324181938099,0.2930149770952977,217.78891911795904,3,WYCKOFF HEIGHTS,03 THREE FAMILY DWELLINGS                  ,1,3250,35,C0, ,11237,1,C0,1
5134,440000.0,2.0,0.0,2.0,4000.0,2391.0,1970.0,6.0,23.0,2017.0,40.5947039,-74.14108509999998,2.320625170662181,3.5409717586404548,217.82048558576972,5,WILLOWBROOK,02 TWO FAMILY DWELLINGS                    ,1,1965,351,B2, ,10314,1,B2,0
5135,450000.0,1.0,0.0,1.0,3000.0,1566.0,1940.0,2.0,7.0,2017.0,40.70143710000001,-73.7397836,1.3095865576382892,4.17862768353028,217.893644686837,4,QUEENS VILLAGE,01 ONE FAMILY DWELLINGS                    ,1,11234,163,A5, ,11411,1,A5,0
5136,2600000.0,5.0,0.0,5.0,2741.0,3050.0,1973.0,11.0,44.0,2016.0,40.77068920000001,-73.9212902,3.3031644766889183,0.22642737571075308,217.6564950965932,4,ASTORIA,07 RENTALS - WALKUP APARTMENTS             ,2A,573,45,C2, ,11102,2,C2,1
5137,376000.0,1.0,0.0,1.0,3115.0,1290.0,1910.0,9.0,37.0,2016.0,40.633239,-74.096452,2.85682411876969,1.0907104859841288,217.91937711168387,5,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,128,46,A1, ,10301,1,A1,1
5138,400000.0,1.0,0.0,1.0,1800.0,1188.0,1960.0,12.0,50.0,2016.0,40.7364,-73.708283,3.8814084563463638,1.302744652717305,217.91730088193933,4,FLORAL PARK,01 ONE FAMILY DWELLINGS                    ,1,8789,49,A5, ,11001,1,A5,1
5139,476000.0,1.0,0.0,1.0,2700.0,1314.0,1925.0,3.0,12.0,2017.0,40.6747277,-73.8251592,0.7408792514714635,3.7309659913728903,217.90754204040536,4,SOUTH OZONE PARK,01 ONE FAMILY DWELLINGS                    ,1,11720,30,A1, ,11420,1,A1,0
5140,1350000.0,2.0,0.0,2.0,7340.0,3040.0,1950.0,1.0,4.0,2017.0,40.5800417,-74.01043409999998,1.833340777565653,4.55994024959606,217.77853083428022,3,SEAGATE,02 TWO FAMILY DWELLINGS                    ,1,7033,65,B3, ,11224,1,B3,0
5141,340000.0,1.0,0.0,1.0,1900.0,1254.0,1940.0,3.0,13.0,2017.0,40.873565899999996,-73.850965,1.7545402348201649,4.032208794268626,217.88352949620128,2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4733,89,A5, ,10469,1,A5,0
5142,2495000.0,2.0,0.0,2.0,1875.0,3778.0,2015.0,11.0,46.0,2016.0,40.682559000000005,-73.945122,3.58127840485796,1.18194570342975,217.79952466989866,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS                    ,1,1839,58,B1, ,11216,1,B1,1
5143,539000.0,1.0,0.0,1.0,1571.0,1320.0,1920.0,9.0,38.0,2016.0,40.7437386,-73.863136,2.8796699749230252,1.0904351379446715,217.91918024208852,4,CORONA,01 ONE FAMILY DWELLINGS                    ,1,1882,35,A5, ,11368,1,A5,1
5144,530000.0,2.0,0.0,2.0,1967.0,1548.0,1920.0,12.0,50.0,2016.0,40.6399504,-73.89688509999998,3.700934056381878,0.5008545728049462,217.88748084841242,3,CANARSIE,02 TWO FAMILY DWELLINGS                    ,1,8242,46,B2, ,11236,1,B2,1
5145,2325000.0,0.0,1.0,1.0,3375.0,5983.0,1931.0,2.0,8.0,2017.0,40.631255200000005,-73.995317,1.0873266962981876,4.069879578033315,217.8444099448791,3,BOROUGH PARK,22 STORE BUILDINGS                         ,4,5684,20,K1, ,11219,4,K1,0
5146,2195000.0,3.0,0.0,3.0,1308.0,1800.0,1910.0,8.0,33.0,2017.0,40.675531899999996,-73.982867,1.2025890486112447,2.0103071481181867,217.81896694833145,3,PARK SLOPE,03 THREE FAMILY DWELLINGS                  ,1,961,16,C0, ,11215,1,C0,0
5147,457447.0,2.0,0.0,2.0,4000.0,2385.0,1935.0,11.0,44.0,2016.0,40.681313,-73.75386800000001,3.4026994268683177,0.8857268784602432,217.82978956911398,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS                    ,1,12719,1,B1, ,11413,1,B1,1
5148,2226000.0,3.0,0.0,3.0,1667.0,3340.0,1899.0,1.0,2.0,2017.0,40.7356101,-73.9557882,1.3737756874330191,4.465563672798267,217.79074416073846,3,GREENPOINT,03 THREE FAMILY DWELLINGS                  ,1,2495,39,C0, ,11222,1,C0,0
5149,370000.0,2.0,0.0,2.0,4500.0,1608.0,1910.0,1.0,1.0,2017.0,40.6310957,-74.13700220000003,1.7281522890033665,4.602238092115029,217.84890791715583,5,PORT RICHMOND,02 TWO FAMILY DWELLINGS                    ,1,1047,61,B3, ,10302,1,B3,0
5150,600000.0,2.0,0.0,2.0,5150.0,2262.0,1950.0,2.0,8.0,2017.0,40.82472449999999,-73.8533467,1.4306050319141612,4.188043641350922,217.77703236018533,2,CASTLE HILL/UNIONPORT,02 TWO FAMILY DWELLINGS                    ,1,3680,35,B2, ,10473,1,B2,0
5151,6350000.0,15.0,0.0,15.0,2523.0,8760.0,1900.0,12.0,52.0,2016.0,40.799035700000005,-73.9639136,4.0090517761666575,1.458541009988404,217.10345734958642,1,UPPER WEST SIDE (96-116),07 RENTALS - WALKUP APARTMENTS             ,2,1860,26,C4, ,10025,2,C4,1
5152,310000.0,2.0,0.0,2.0,6400.0,1430.0,1901.0,9.0,37.0,2016.0,40.5132626,-74.24699140000001,3.689160384267731,2.557189505205118,217.8605409613869,5,TOTTENVILLE,02 TWO FAMILY DWELLINGS                    ,1,8025,65,B3, ,10307,1,B3,1
5153,790000.0,1.0,0.0,1.0,5908.0,1700.0,1930.0,11.0,47.0,2016.0,40.757540000000006,-73.79558899999998,3.6380816449011,1.30896887992918,217.85637091846388,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS                    ,1,5429,43,A1, ,11358,1,A1,1
5154,1900000.0,1.0,0.0,1.0,8000.0,4000.0,1955.0,5.0,18.0,2017.0,40.5743879,-73.86205869999998,0.7810466983327563,3.1961558596726487,217.78709985762615,4,NEPONSIT,01 ONE FAMILY DWELLINGS                    ,1,16295,26,A1, ,11694,1,A1,0
