,SALE PRICE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,sale_month,sale_week,sale_year,latitude,longitude,deucli_k1,deucli_k2,deucli_k3,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,APARTMENT NUMBER,ZIP CODE,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,cluster
4921,250000.0,1.0,0.0,1.0,3906.0,1838.0,1930.0,5.0,21.0,2017.0,40.708239,-73.753231,3.3499458895022998,1.413407703184355,218.0857779257911,4,HOLLIS,01 ONE FAMILY DWELLINGS                    ,1,10911,3,A1, ,11412,1,A1,1
4922,435000.0,1.0,0.0,1.0,2008.0,1152.0,1950.0,8.0,34.0,2017.0,40.6861249,-73.78918,2.5622528743902198,1.843823810112365,218.1234337750542,4,SO. JAMAICA-BAISLEY PARK,01 ONE FAMILY DWELLINGS                    ,1,12190,130,A1, ,11434,1,A1,1
4923,1250000.0,1.0,0.0,1.0,5000.0,2016.0,1920.0,12.0,51.0,2016.0,40.7672477,-73.76968829999998,1.7724975020785203,4.077872639221228,218.08860474888107,4,BAYSIDE,01 ONE FAMILY DWELLINGS                    ,1,6178,28,A1, ,11361,1,A1,0
4924,3200000.0,0.0,1.0,1.0,4800.0,4800.0,1931.0,12.0,51.0,2016.0,40.7455292,-73.97852569999998,1.0727216796499195,3.8384352077712456,218.0706349802706,3,GOWANUS,27 FACTORIES                               ,4,1020,36,F4, ,11215,4,F4,0
4925,753505.0,2.0,0.0,2.0,3300.0,2172.0,2016.0,5.0,18.0,2017.0,40.6283029,-74.1265396,4.379404522735321,3.083951602513784,218.07207983361138,5,WEST NEW BRIGHTON,02 TWO FAMILY DWELLINGS                    ,1,232,59,B2, ,10310,1,B2,1
4926,380000.0,3.0,0.0,3.0,2000.0,2900.0,1901.0,8.0,32.0,2017.0,40.75331070000001,-73.9667382,2.8135646533402303,2.073314732831053,218.0152846213548,3,FLATBUSH-EAST,03 THREE FAMILY DWELLINGS                  ,1,4674,28,C0, ,11203,1,C0,1
4927,450000.0,1.0,0.0,1.0,2500.0,1264.0,1930.0,10.0,44.0,2016.0,40.67935,-73.80688599999998,1.0182043960616691,3.3060940373357544,218.1323377698365,4,SOUTH OZONE PARK,01 ONE FAMILY DWELLINGS                    ,1,11676,25,A1, ,11420,1,A1,0
4928,900000.0,2.0,0.0,2.0,3000.0,2220.0,1925.0,10.0,42.0,2016.0,40.628175899999995,-74.01620679999998,1.2030248347923764,3.310769009038459,218.0765863933791,3,BAY RIDGE,02 TWO FAMILY DWELLINGS                    ,1,5912,15,B2, ,11228,1,B2,0
4929,1600000.0,8.0,1.0,9.0,2323.0,7500.0,1930.0,9.0,37.0,2016.0,40.6684225,-73.91778769999998,0.9012448964071788,2.8554883428879254,217.67621395068747,3,BROWNSVILLE,07 RENTALS - WALKUP APARTMENTS             ,2B,3514,36,C7, ,11212,2,C7,0
4930,2000000.0,0.0,1.0,1.0,15000.0,13544.0,1970.0,2.0,9.0,2017.0,40.6592169,-73.7695275,4.304256538399796,1.8915358724062457,217.72949419692512,4,SPRINGFIELD GARDENS,30 WAREHOUSES                              ,4,13379,57,E1, ,11434,4,E1,1
